,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Grenada,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Grenada,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Grenada,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Grenada,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Grenada,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Grenada,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Grenada,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Grenada,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Grenada,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Grenada,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Grenada,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Grenada,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Grenada,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Grenada,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Grenada,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Grenada,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Grenada,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Grenada,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Grenada,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Grenada,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Grenada,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
