,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Cape Verde,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Cape Verde,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Cape Verde,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Cape Verde,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Cape Verde,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Cape Verde,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Cape Verde,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Cape Verde,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Cape Verde,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Cape Verde,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Cape Verde,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Cape Verde,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Cape Verde,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Cape Verde,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Cape Verde,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Cape Verde,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Cape Verde,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Cape Verde,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Cape Verde,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Cape Verde,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Cape Verde,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Cape Verde,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Cape Verde,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Cape Verde,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Cape Verde,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Cape Verde,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Cape Verde,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Cape Verde,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Cape Verde,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Cape Verde,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Cape Verde,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Cape Verde,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Cape Verde,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Cape Verde,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Cape Verde,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Cape Verde,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Cape Verde,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
